route_id,route_short_name,route_long_name,serves_campuses,is_ace_enforced
B1,B1,Bay Ridge - Manhattan Beach,['Kingsborough Community College'],False
B11,B11,Sunset Park - Midwood,['Brooklyn College'],False
B25,B25,Dwntn Bklyn & DUMBO - Broadway Junction,['New York City College of Technology'],True
B26,B26,Downtown Brooklyn - Ridgewood,['New York City College of Technology'],True
B32,B32,Williamsburg - Long Island City,['School of Law'],False
B38,B38,Ridgewood - Downtown Brooklyn,['New York City College of Technology'],False
B41,B41,Kings Plaza - Downtown Brooklyn,['New York City College of Technology'],True
B43,B43,Greenpoint - Lefferts Gardens,['Medgar Evers College'],False
B44+,B44-SBS,Sheepshead Bay - Williamsburg,['Medgar Evers College'],False
B45,B45,Downtown Brooklyn - Crown Heights,['New York City College of Technology'],False
B48,B48,Lefferts Gardens - Greenpoint,['Medgar Evers College'],False
B49,B49,Manhattan Beach - Bedford-Stuyvesant,"['Kingsborough Community College', 'Medgar Evers College', 'Brooklyn College']",False
B52,B52,Downtown Brooklyn - Ridgewood,['New York City College of Technology'],False
B54,B54,Downtown Brooklyn - Ridgewood,['New York City College of Technology'],False
B57,B57,Gowanus - Maspeth,['New York City College of Technology'],False
B6,B6,Bath Beach - East New York,['Brooklyn College'],False
B61,B61,Park Slope - Downtown Brooklyn,['New York City College of Technology'],False
B62,B62,Astoria - Downtown Brooklyn,"['New York City College of Technology', 'School of Law']",True
B65,B65,Downtown Brooklyn - Crown Heights,['New York City College of Technology'],False
B67,B67,Brooklyn Navy Yard - Kensington,['New York City College of Technology'],False
B69,B69,Downtown Brooklyn - Kensington,['New York City College of Technology'],False
BX1,Bx1,Riverdale - Mott Haven,"['Hostos Community College', 'Lehman College']",False
BX10,Bx10,Riverdale - Norwood,['Lehman College'],False
BX13,Bx13,George Washington Bridge - Bronx Terminal Market,['Hostos Community College'],False
BX19,Bx19,NY Botanical Garden - Riverbank Park,['Hostos Community College'],False
BX2,Bx2,Kingsbridge Heights - Mott Haven,"['Hostos Community College', 'Lehman College']",False
BX22,Bx22,Bedford Park - Castle Hill,['Lehman College'],False
BX25,Bx25,Co-op City Bay Plaza - Bedford Park,['Lehman College'],False
BX26,Bx26,Co-op City Section 5 - Bedford Park,['Lehman College'],False
BX28,Bx28,Co-op City Section 5 - Fordham Center,['Lehman College'],False
BX3,Bx3,Riverdale - George Washington Bridge,['Bronx Community College'],False
BX32,Bx32,Kingsbridge VA Hospital - Mott Haven,"['Bronx Community College', 'Hostos Community College']",False
BX33,Bx33,Port Morris - Harlem,['The City College of New York'],False
BX34,Bx34,Woodlawn - Fordham Center,['Lehman College'],False
BX38,Bx38,Co-op City Bay Plaza - Norwood,['Lehman College'],False
BX40,Bx40,Throgs Neck - River Park Towers,['Bronx Community College'],False
BX42,Bx42,Throgs Neck - River Park Towers,['Bronx Community College'],False
M1,M1,Harlem - East Village,"['Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'School of Professional Studies', 'School of Public Health', 'Baruch College', 'Hunter College']",False
M10,M10,Harlem - Columbus Circle,"['Macaulay Honors College', 'The City College of New York', 'John Jay College of Criminal Justice']",False
M100,M100,Inwood - Harlem,['The City College of New York'],True
M101,M101,East Village - Fort George,"['The Graduate School and University Center', 'School of Public Health', 'Baruch College', 'The City College of New York', 'Hunter College']",True
M102,M102,Harlem - East Village,"['The Graduate School and University Center', 'School of Public Health', 'Baruch College', 'Hunter College']",False
M103,M103,East Harlem - City Hall,"['The Graduate School and University Center', 'Baruch College', 'Hunter College']",False
M104,M104,West Harlem - Times Square,"['Guttman Community College', 'School of Labor and Urban Studies', 'School of Journalism', 'Macaulay Honors College', 'John Jay College of Criminal Justice']",False
M11,M11,Riverbank Park & Harlem - West Village,"['School of Journalism', 'Macaulay Honors College', 'The City College of New York', 'John Jay College of Criminal Justice']",False
M12,M12,Midtown West - West Village,['John Jay College of Criminal Justice'],False
M125,M125,Manhattanville - The Hub,['School of Public Health'],False
M15,M15,East Harlem - South Ferry,"['Baruch College', 'Hunter College']",False
