event_id,event_name,start_date_time,end_date_time,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct,latitude,longitude
774414,The LGBT Community Center Juneteenth Block Party,06/15/2024 12:00:00 PM,06/15/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,208  WEST   13 STREET between 7 AVENUE and GREENWICH AVENUE,Full,Full Street Closure,"2,","6,",40.7380084,-74.0010489
798117,Salsa en barrio end of the summer bash,09/28/2024 12:00:00 PM,09/28/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,240  EAST  109 STREET between 2 AVENUE and 3 AVENUE,Full,Full Street Closure,"11,","23,",40.792602,-73.9418791
801991,Covington family,08/10/2024 08:30:00 AM,08/10/2024 08:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,340 CONVENT AVENUE between AMSTERDAM AVENUE and CONVENT AVENUE,Full,Full Street Closure,"9,","30,",40.824196,-73.9467329
754678,StageFest at PrideFest 2024,06/30/2024 10:00:00 AM,06/30/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,4 AVENUE between EAST   10 STREET and EAST    9 STREET,Full,Full Street Closure,"2, 3,","9,",43.1501767,-77.5913381
807395,Annual Rose Court Tenants Association Block Party,08/31/2024 11:00:00 AM,08/31/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,ACADEMY STREET between SHERMAN AVENUE and VERMILYEA AVENUE,Full,Full Street Closure,"12,","34,",40.8634487,-73.9231579
774235,34th Annual Tompkins Square Halloween Dog Parade,10/19/2024 12:00:00 PM,10/19/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,AVENUE A between EAST    7 STREET and ST MARKS PLACE,Full,Full Street Closure,"3,","9,",40.7973152,-73.9315153
785528,No B Festival,07/20/2024 02:00:00 PM,07/20/2024 08:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,AVENUE B between EAST   13 STREET and EAST   14 STREET,Full,Full Street Closure,"3,","9,",40.722345,-73.983204
798050,Bank Street Potluck,09/17/2024 05:30:00 PM,09/17/2024 09:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,BANK STREET between WEST    4 STREET and GREENWICH AVENUE,Full,Full Street Closure,"2,","6,",40.7361022,-74.0090714
791482,135th Annual Feast of St Rocco Block Party,08/18/2024 11:30:00 AM,08/18/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,BAXTER STREET between HESTER STREET and CANAL STREET,Full,Full Street Closure,"2,","5,",40.7157468,-74.000455
754638,PS 178 Carnival,06/15/2024 11:00:00 AM,06/15/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,BOGARDUS PLACE between ELLWOOD STREET and HILLSIDE AVENUE,Full,Full Street Closure,"12,","34,",40.8591447,-73.9290496
